Winnie-the-Pooh	soweli Wini Pu
so that’s why he likes having it told to him again.	tan ni la ona li wile e ni: jan li toki e ona tawa ona, lon tenpo sin,
Because then it’s a real story and not just a remembering.”	tan ni: kepeken ni la ni li toki lon li sona awen taso ala.”
	
“That’s just how I feel,” I said.	“tawa mi la ni” li toki mi.
	
Christopher Robin gave a deep sigh, picked his Bear up by the leg, and walked off to the door, trailing Pooh behind him.	jan Kitopa li a pi pilin ike li tan anpa e soweli ona pi luka wawa kepeken noka ona li tawa weka tawa lupa tomo li tawa e soweli Pu lon anpa, lon monsi ona.
At the door he turned and said, “Coming to see me have my bath?”	lupa tomo la ona li tawa sike li toki e ni: “sina kama anu seme? mi telo e mi.”
“I didn’t hurt him when I shot him, did I?”	“mi tan e kiwen utala tawa ona, la mi pana ala e pilin ike tawa ona anu seme?”
“Not a bit.”	“ala.”
He nodded and went out,	ona li a kepeken lawa li tawa weka.
and in a moment I heard Winnie-the-Pooh – bump, bump, bump – going up the stairs behind him.	pini pi tenpo lili la mi kute e ni: monsi ona la soweli Wini Pu li kalama “PUN”, “PUN”, “PUN” li tawa sewi kepeken mute supa.
CHAPTER II:	wan lipu nanpa tu
IN WHICH POOH GOES VISITING AND GETS INTO A TIGHT PLACE	ona la soweli Pu li tawa tomo pi jan ante li kama lon insa pi ijo lili
	
Edward Bear, known to his friends as Winnie-the-Pooh, or Pooh for short, was walking through the forest one day, humming proudly to himself.	soweli pi luka wawa Etuwa — jan pona ona li sona e nimi ona “Wini Pu” anu “Pu” taso — li tawa lon ma pi kasi suli lon tenpo suno wan li pilin suli li kalama musi kepeken uta pi open ala, tawa ona sama.
He had made up a little hum that very morning, as he was doing his Stoutness Exercises in front of the glass:	ona li sitelen insa e kalama musi lon kama pi tenpo suno sama, lon tenpo ni: ona li pona e sijelo kepeken tawa, lon sinpin lukin:
Tra-la-la, tra-la-la,	“TA-LA-LA, TA-LA-LA.”
as he stretched up as high as he could go,	ona li sinpin e ona sama li suli pi mute ale e ona sama.
and then Tra-la-la, tra-la—oh, help!—la,	pini ni la: “TA-LA-LA, TA-LA — o pana e pona! — LA.”
as he tried to reach his toes.	ona li lukin luka e palisa noka.
After breakfast he had said it over and over to himself until he had learnt it off by heart,	kama pi tenpo suno la ona li moku. pini ni la ona li toki e ni tawa ona sama, lon tenpo mute mute li kama lon insa pi lawa ona e kalama musi.
and now he was humming it right through, properly.	tenpo ni la ona li kalama musi pi pakala ala e ale ona.
It went like this:	ona li sama ni:
	
Tra-la-la, tra-la-la,	TA-LA-LA, TA-LA-LA,
Tra-la-la, tra-la-la,	TA-LA-LA, TA-LA-LA,
Rum-tum-tiddle-um-tum.	LUN-TUN-SITELUN-TUN.
Tiddle-iddle, tiddle-iddle,	SITELITE, SITELITE,
Tiddle-iddle, tiddle-iddle,	SITELITE, SITELITE,
Rum-tum-tum-tiddle-um.	LUN-TUN-TUN-SITELUN.
	
Well, he was humming this hum to himself, and walking along gaily, wondering what everybody else was doing,	ona li kalama musi tawa ona sama li pilin pona li tawa lon nasin li wile sona e ni: jan ale li pali seme?
and what it felt like, being somebody else,	jan li jan ante, la ni li seme tawa pilin?
when suddenly he came to a sandy bank,	tenpo ni la ona li kama lon sinpin pi ko kiwen.
and in the bank was a large hole.	nena ni la lupa li lon.
	
“Aha!” said Pooh.	“a, a!” li nimi pi soweli Pu.
(Rum-tum-tiddle-um-tum.)	(“LUN-TUN-SITELUN-TUN.”)
“If I know anything about anything, that hole means Rabbit,” he said,	“mi sona e ijo ijo, la kon pi lupa ni li soweli pi kute suli” li toki ona.
“and Rabbit means Company,” he said,	“kon pi soweli pi kute suli li jan poka” li toki ona.
“and Company means Food and Listening-to-Me-Humming and such like.	“kon pi jan poka li moku li kute tawa kalama musi mi li ni.
Rum-tum-tum-tiddle-um.”	LUN-TUN-SITELELUN-TUN.”
	
So he bent down, put his head into the hole, and called out:	ni la ona li kama anpa li lon insa lupa e lawa li toki wawa:
	
“Is anybody at home?”	“jan li lon tomo anu seme?”
	
There was a sudden scuffling noise from inside the hole,	tenpo lili la kalama li kama.
and then silence.	pini ona la kalama ala li lon.
	
“What I said was, ‘Is anybody at home?’” called out Pooh very loudly.	“mi toki e ni: jan li lon tomo anu seme?” li toki pi wawa mute, pi soweli Pu.
	
“No!” said a voice;	“ala!” li toki pi kalama uta.
and then added, “You needn’t shout so loud.	ona li toki sin e ni: “sina wile ala toki pi kalama pi suli ni.
I heard you quite well the first time.”	mi kute pi pona a e sina lon tenpo nanpa wan.”
	
“Bother!” said Pooh.	“ike!” li toki pi soweli Pu.
“Isn’t there anybody here at all?”	“jan ala li lon anu seme?”
	
“Nobody.”	“jan ala.”
	
Winnie-the-Pooh took his head out of the hole, and thought for a little, and he thought to himself, “There must be somebody there, because somebody must have said ‘Nobody.’”	soweli Wini Pu li tan lupa e lawa li toki insa lon tenpo wan li toki tawa ona sama e ni: “sona li ni: jan li lon tomo tan ni: jan li toki e ni: ‘jan ala.’”
So he put his head back in the hole, and said:	ni la tenpo sin la ona li lon insa lupa e lawa li toki e ni:
“Hallo, Rabbit, isn’t that you?”	“toki, soweli pi kute suli o, seme anu ni li sina?”
	
“No,” said Rabbit, in a different sort of voice this time.	“ala” li toki pi soweli pi kute suli kepeken kalama uta ante, lon tenpo ni.
	
“But isn’t that Rabbit’s voice?”	“taso seme anu ni li kalama uta pi soweli pi kute suli?”
	
“I don’t think so,” said Rabbit.	“tawa mi la ala” li toki pi soweli pi kute suli.
“It isn’t meant to be.”	“ni li wile ala.”
	
“Oh!” said Pooh.	“a” li toki pi soweli Pu.
	
He took his head out of the hole, and had another think, and then he put it back, and said:	ona li tan lupa e lawa li toki insa lon tenpo sin li lon sin e ona li toki e ni:
	
“Well, could you very kindly tell me where Rabbit is?”	“sina ken toki e ni tawa mi anu seme?: soweli pi kute suli li lon seme?”
	
“He has gone to see his friend Pooh Bear, who is a great friend of his.”	“ona li tawa tomo pi soweli pi luka wawa Pu, ona li jan pi pona mute tawa ona.”
	
“But this is Me!” said Bear,	“taso ona li mi!” li toki pi soweli pi luka wawa.
very much surprised.	ona li pilin pi sin nasa.
	
“What sort of Me?”	“‘mi’ seme?”
	
“Pooh Bear.”	“soweli pi luka wawa Pu.”
	
“Are you sure?” said Rabbit,	“sina pilin sona anu seme?” li toki pi soweli pi kute suli.
still more surprised.	ona li pilin pi sin pi nasa mute.
	
“Quite, quite sure,” said Pooh.	“mi pilin sona a, a” li toki pi soweli Pu.
	
“Oh, well, then, come in.”	“a, ni la o kama lon insa.”
	
So Pooh pushed and pushed and pushed his way through the hole, and at last he got in.	ni la soweli Pu li tawa kepeken noka en luka lon lupa nasin li kama lon insa lon pini pi tenpo suli.
	
“You were quite right,” said Rabbit,	“sina toki pona a” li toki pi soweli pi kute suli.
looking at him all over.	ona li lukin e ale ona.
“It is you.	“ni la sina.
Glad to see you.”	mi pilin pona tan ni.”
	
“Who did you think it was?”	“tawa sina la ni la jan seme?”
	
“Well, I wasn’t sure.	“mi pilin sona ala.
You know how it is in the Forest.	sina sona a e insa pi ma pi kasi suli.
One can’t have anybody coming into one’s house.	jan li ken ala tawa insa tomo e jan mu.
One has to be careful.	
What about a mouthful of something?”	moku li pona anu seme?”
	
Pooh always liked a little something at eleven o’clock in the morning,	tenpo ale la tawa soweli Pu la moku lili lon pini pi kama pi tenpo suno li pona.
and he was very glad to see Rabbit getting out the plates and mugs; and when Rabbit said, “Honey or condensed milk with your bread?”	ona li pilin pi pona mute tan ni: soweli pi kute suli li lon supa e poki li toki e ni: “ko suwi anu ko pi telo mama lon poka pi pan sina?”.
he was so excited that he said, “Both,”	ona li pilin pi nasa wawa ni: ona li toki sin e ni: “tu ale.”
and then, so as not to seem greedy, he added, “But don’t bother about the bread, please.”	ona li wile e ni ala: ona li wile ike. tan ni la ona li toki sin e ni: sina ken awen weka e pan.
And for a long time after that he said nothing…	pini ni la tenpo suli la ona li toki ala…
until at last, humming to himself in a rather sticky voice, he got up, shook Rabbit lovingly by the paw, and said that he must be going on.	pini ona la ona li kalama musi kepeken uta pi open ala, tawa ona sama, kepeken kalama uta ko a li kama sinpin li luka e luka pi soweli pi kute suli kepeken pilin li toki e ni: ona li wile tawa.
	
“Must you?” said Rabbit politely.	“sina wile anu seme?” li toki suwi pi soweli pi kute suli.
	
“Well,” said Pooh, “I could stay a little longer if it—if you—”	“a,” — li toki pi soweli Pu — “mi ken awen lon tenpo sin lon ni…”
and he tried very hard to look in the direction of the larder.	ona li lukin lukin tawa tomo pi poki moku.
	
“As a matter of fact,” said Rabbit, “I was going out myself directly.”	“ni li lon:” — li toki pi soweli pi kute suli — “mi sama li tawa weka.”
	
“Oh, well, then, I’ll be going on.	“a, ni la mi tawa.
Good-bye.”	mi tawa.”
	
“Well, good-bye, if you’re sure you won’t have any more.”	“a, tawa pona lon ni: sina pilin sona e ni: sina wile ala e ijo sin.”
	
“Is there any more?” asked Pooh quickly.	“ijo sin li lon anu seme?” li toki pi soweli Pu lon tenpo lili.
	
Rabbit took the covers off the dishes, and said, “No, there wasn’t.”	soweli pi kute suli li weka e len tan poki moku li toki e ni: “ala. lon ala.”
	
“I thought not,” said Pooh,	“sama ni la tawa mi la ala” li toki pi soweli Pu.
nodding to himself.	ona li a kepeken lawa tawa ona sama.
“Well, good-bye.	“a, mi tawa.
I must be going on.”	mi wile tawa.”
	
So he started to climb out of the hole.	ni la ona li kama tawa kepeken noka en luka, tawa weka, tan lupa.
He pulled with his front paws, and pushed with his back paws,	ona li lukin tan e ona sama kepeken luka li lukin tawa e ona kepeken noka.
and in a little while his nose was out in the open again…	pini pi tenpo lili la nena sinpin li kama…
and then his ears…	kute li kama…
and then his front paws…	luka li kama…
and then his shoulders…	lawa sinpin li kama.
and then—	ni la —
	
“Oh, help!” said Pooh.	“o pana e pona!” li toki pi soweli Pu.
“I’d better go back.”	“mi wile tawa monsi.”
	
“Oh, bother!” said Pooh.	“a, ike!” li toki pi soweli Pu.
“I shall have to go on.”	“mi wile tawa sinpin.”
	
“I can’t do either!” said Pooh.	“tu ale li ken ala!” li toki pi soweli Pu.
“Oh, help and bother!”	“o pana e pona! a, ike!”
	
Now by this time Rabbit wanted to go for a walk too,	tenpo ni la sama ni la soweli pi kute suli li wile tawa weka.
and finding the front door full,	taso ona li jo e lupa pi open ala.
he went out by the back door, and came round to Pooh, and looked at him.	tan ni la ona li tawa weka kepeken lupa pi monsi tomo li tawa lon poka sike tomo, tawa soweli Pu li lukin e ona.
	
“Hallo, are you stuck?” he asked.	“toki! sina lon insa ike anu seme?” li toki ona.
	
“N-no,” said Pooh carelessly.	“a-ala” li toki pi soweli Pu kepeken pilin ala.
“Just resting	“mi lape taso.
and thinking	mi toki insa taso.
and humming to myself.”	mi kalama musi taso kepeken uta pi open ala, tawa mi sama.”
	
“Here, give us a paw.”	“o, o pana e luka.”
	
Pooh Bear stretched out a paw,	soweli pi luka wawa Pu li lukin tawa weka e luka.
and Rabbit pulled and pulled and pulled…	soweli pi kute suli li lukin tan e ona li lukin tan e ona li lukin tan e ona…
	
“Ow!” cried Pooh.	“a!” li toki wawa pi soweli Pu.
“You’re hurting!”	“sina pana e pilin ike.”
	
“The fact is,” said Rabbit,	“ni li lon:” li toki pi soweli pi kute suli.
“you’re stuck.”	“sina lon insa ike.”
	
“It all comes,” said Pooh crossly, “of not having front doors big enough.”	“ale ni li kama” — li toki pi soweli Pu kepeken pilin utala — “tan ni: jan li jo ala e lupa pi sinpin tomo, pi suli pona.”
	
“It all comes,” said Rabbit sternly, “of eating too much.	“ale ni li kama” — li toki kiwen pi soweli pi kute suli — “tan ni: jan li moku ike.
I thought at the time,” said Rabbit, “only I didn’t like to say anything,” said Rabbit, “that one of us was eating too much,” said Rabbit,	tenpo la mi toki insa, taso mi wile ala toki kalama e ni:” — li toki pi soweli pi kute suli — “wan pi mi tu li moku ike” li toki pi soweli pi kute suli.
“and I knew if wasn’t me,” he said.	mi sona e ni: mi pali ala.” li toki ona.
“Well, well, I shall go and fetch Christopher Robin.”	“ni, ni, mi tawa ni e jan Kitopa Jopin.”
	
Christopher Robin lived at the other end of the Forest,	tomo pi jan Kitopa Jopin li lon poka ante pi ma pi kasi suli.
and when he came back with Rabbit, and saw the front half of Pooh, he said, “Silly old Bear,” in such a loving voice that everybody felt quite hopeful again.	ona li tawa sin lon poka pi soweli pi kute suli li lukin e wan tu sinpin pi soweli Pu, la ona li toki e ni: “soweli nasa pi luka wawa o” kepeken kalama uta pi suwi ni: jan ale li pilin sin pi kama pona.
	
“I was just beginning to think,” said Bear, sniffing slightly, “that Rabbit might never be able to use his front door again.	“mi kama toki insa e ni:” — li toki pi soweli pi luka wawa kepeken kalama uta pi pilin ike — “soweli pi kute suli li ken kepeken lupa tomo ona lon tenpo kama ala.
And I should hate that,” he said.	ni li ike tawa mi.”
	
“So should I,” said Rabbit.	“tawa mi a” li toki pi soweli pi kute suli.
	
“Use his front door again?” said Christopher Robin.	“kepeken e lupa tomo ona?” li toki pi jan Kitopa Jopin.
“Of course he’ll use his front door again.”	“ni li sona: ona li kepeken lupa tomo ona lon tenpo sin.”
	
“Good,” said Rabbit.	“pona” li toki pi soweli pi kute suli.
	
“If we can’t pull you out, Pooh, we might push you back.”	“mi mute li ken ala tan e sina tawa weka, soweli Pu o, ken la mi mute li wile tawa e sina tawa monsi.”
	
Rabbit scratched his whiskers thoughtfully, and pointed out that, when once Pooh was pushed back, he was back,	jan soweli pi kute suli li toki insa li luka kiwen e linja uta li toki e ni: jan li tawa monsi e soweli Pu, la ona li lon ni lon tenpo sin.
and of course nobody was more glad to see Pooh than he was,	sona li ni: ona li pilin pi pona mute tan ni: ona li lon poka pi soweli Pu.
still there it was, some lived in trees and some lived underground, and—	taso jan wan li jo e tomo lon kasi suli, jan ante li jo e tomo lon anpa ma…
	
“You mean I’d never get out?” said Pooh.	“sina toki e ni anu seme?: tenpo ala la mi ken tawa weka?” li toki pi soweli Pu.
	
“I mean,” said Rabbit, “that having got so far, it seems a pity to waste it.”	“mi toki e ni: mute li kama. tawa mi la ona li kama weka ike, la ni li pana e pilin ike.”
	
Christopher Robin nodded.	jan Kitopa Jopin li a kepeken lawa.
	
“Then there’s only one thing to be done,” he said.	“ni la ken li wan taso” li toki ona.
“We shall have to wait for you to get thin again.”	“mi mute o awen lon tenpo ni: sina kama suli ala lon tenpo sin.”
	
“How long does getting thin take?” asked Pooh anxiously.	“tenpo ni, jan li kama suli ala, li suli anu seme?” li toki pi soweli Pu, pi pilin akesi.
	
“About a week, I should think.”	“tawa mi la ni li sama tenpo suno esun.”
	
“But I can’t stay here for a week!”	“taso mi ken ala awen lon ni, lon ale pi tenpo suno esun!”
	
“You can stay here all right, silly old Bear.	“sina ken a awen lon ni, soweli nasa pi luka wawa o.
It’s getting you out which is so difficult.”	ni taso li ike pali: sina li kama tan.”
	
“We’ll read to you,” said Rabbit cheerfully.	“mi mute li ken lukin e sitelen tawa sina” li toki pi soweli pi kute suli kepeken pilin pona.
“And I hope it won’t snow,” he added.	“kama pi ken ni taso li pona tawa mi: telo ko kiwen li kama anpa ala” li toki sin ona.
“And I say, old fellow, you’re taking up a good deal of room in my house—	“mi toki e ni, jan pona o: sina lon insa mute pi tomo mi.
do you mind if I use your back legs as a towel-horse? Because, I mean, there they are—doing nothing—and it would be very convenient just to hang the towels on them.”	ni li pona tawa sina anu seme?: mi kepeken e noka sina sama ilo kili tan ni: tawa mi la ona li pali ala. jan li ken kili e len lon supa ona, la ni li pana e pona pali.”
	
“A week!” said Pooh gloomily.	“tenpo suno esun a!” li toki pi soweli Pu, pi pilin ike.
“What about meals?”	“ijo moku li seme?”
	
“I’m afraid no meals,” said Christopher Robin,	“mi pilin ike tan ni: moku li lon ala.” li toki pi jan Kitopa Jopin.
“because of getting thin quicker.	“ni pona pali e ni: sina ken kama sin suli ala.
But we will read to you.”	taso mi mute li ken lukin e sitelen tawa sina.”
	
Bear began to sigh, and then found he couldn’t because he was so tightly stuck;	soweli pi luka wawa li kama a pi pilin ike li kama lukin e ni: ona li ken ala tan ni: ona li lon insa pi lili ike ni.
and a tear rolled down his eye,	wan telo li kama anpa tan lukin ona.
as he said:	ona li toki e ni:
	
“Then would you read a Sustaining Book, such as would help and comfort a Wedged Bear in Great Tightness?”	“ni la sina ken lukin e sitelen pi lipu, ona li pana e wawa anu seme?, li pana e pona e pilin pona tawa soweli pi luka wawa lon insa ike?”
	
So for a week Christopher Robin read that sort of book at the North end of Pooh, and Rabbit hung his washing on the South end … and in between Bear felt himself getting slenderer and slenderer.	ni la ale pi tenpo suno esun la jan Kitopa Jopin li lukin e sitelen pi lipu ni lon poka pi suno ala, soweli pi kute suli li kili e len telo lon poka suno.
And at the end of the week Christopher Robin said, “Now!”	pini pi tenpo suno esun la jan Kitopa Jopin li toki e ni: “o!”
	
So he took hold of Pooh’s front paws	ni la ona li kama awen e luka pi soweli Pu.
and Rabbit took hold of Christopher Robin,	sin ni la soweli pi kute suli li kama awen e jan Kitopa Jopin.
and all Rabbit’s friends and relations took hold of Rabbit,	sin la jan pona ale pi soweli pi kute suli en jan sama li kama awen e soweli pi kute suli.
and they all pulled together…	jan ale li lukin tan e soweli Pu…
	
And for a long time Pooh only said “Ow!” …	tenpo suli la soweli Pu li toki e ni taso: “ike!” …
	
And “Oh!” …	e ni: “o!” …
	
And then, all of a sudden, he said “Pop!”	ni la lon tenpo lili la ona li toki e ni: “PO!”
just as if a cork were coming out of a bottle.	ni li sama ilo len, ona li kama tan lupa poki.
	
And Christopher Robin and Rabbit and all Rabbit’s friends and relations went head-over-heels backwards…	jan Kitopa Jopin en soweli pi kute suli en jan pona ale ona en jan sama ale ona li tawa sike tawa monsi…
and on the top of them came Winnie-the-Pooh—free!	supa ona la soweli Wini Pu li kama — taso!
	
So, with a nod of thanks to his friends, he went on with his walk through the forest, humming proudly to himself.	ni la ona li a kepeken lawa tawa jan pona mute li awen sin tawa lon ma pi kasi suli li kalama musi kepeken uta pi open ala, tawa ona sama.
But, Christopher Robin looked after him lovingly, and said to himself, “Silly old Bear!”	taso jan Kitopa Jopin li lukin e monsi tawa ona kepeken pilin olin li toki tawa ona sama e ni: “soweli nasa pi luka wawa o!”
CHAPTER III:	wan lipu nanpa mute
IN WHICH POOH AND PIGLET GO HUNTING AND NEARLY CATCH A WOOZLE	ona la soweli Pu en soweli lili li alasa li alasa pi lili ike e soweli pi kiwen uta wawa
	
The Piglet lived in a very grand house in the middle of a beech-tree,	soweli lili li jo e tomo pi suli mute lon insa pi kasi suli.
and the beech-tree was in the middle of the forest,	kasi suli ni li lon insa pi ma pi kasi suli.
and the Piglet lived in the middle of the house.	soweli lili li jo e tomo lon insa pi tomo ni.
Next to his house was a piece of broken board which had:	poka pi tomo ona la lipu suli li lon.
“TRESPASSERS W” on it.	ona li jo e sitelen “JAN PI TAWA AKESI W”.
When Christopher Robin asked the Piglet what it meant, he said it was his grandfather’s name, and had been in the family for a long time,	jan Kitopa Jopin li wile sona tan soweli lili e kon ona, la ona li toki e ni: ni li nimi pi mama mama li ijo pi kulupu mama tan kama pi tenpo suli.
Christopher Robin said you couldn’t be called Trespassers W,	jan Kitopa Jopin li toki e ni: jan li ken ala jo e nimi “jan pi tawa akesi W”.
and Piglet said yes, you could, because his grandfather was,	soweli lili li toki e ni: jan li ken jo tan ni: mama mama ona li jo.
and it was short for Trespassers Will,	ale pi nimi ni li “jan pi tawa akesi Wi”.
which was short for Trespassers William.	ale pi nimi ni li ni: “jan pi tawa akesi WILIJEN”.
And his grandfather had had two names in case he lost one—Trespassers after an uncle, and William after Trespassers.	mama mama ona li jo e nimi tu tan ken pi ike kama ni: ona li pini jo e wan ona: “JAN PI TAWA IKE” lon pini pi “mama sama”, “WILIJEN” lon pini pi “JAN PI TAWA IKE”.
	
“I’ve got two names,” said Christopher Robin carelessly.	“mi jo e nimi tu” li toki pi jan Kitopa Jopin kepeken pilin ala.
	
“Well, there you are, that proves it,” said Piglet.	“ni. ni li pana e pilin sona” li toki pi soweli lili.
	
One fine winter’s day when Piglet was brushing away the snow in front of his house, he happened to look up,	tenpo suno pi tenpo lete, pi pona lukin la soweli pi palisa monsi sike li weka e ko lete tan sinpin pi lupa tomo ona, la tan ken la ona li lukin e sewi.
and there was Winnie-the-Pooh.	ni la soweli Wini Pu li lon.
Pooh was walking round and round in a circle, thinking of something else,	soweli Pu li tawa lon poka sike li tawa lon poka sike li toki insa e ijo pi ijo ante.
and when Piglet called to him, he just went on walking.	soweli pi palisa monsi sike li toki wawa tawa ona, la ona li awen tawa a.
	
“Hallo!” said Piglet,	“toki!” li toki pi soweli lili.
“what are you doing?”	“sina pali seme?”
	
“Hunting,” said Pooh.	“mi alasa” li toki pi soweli Pu.
	
“Hunting what?”	“sina alasa e seme?” li toki pi soweli Pu.
	
“Tracking something,” said Winnie-the-Pooh very mysteriously.	“mi lukin e sitelen noka ijo” li toki pi soweli Wini Pu tan weka sona nasa.
	
“Tracking what?” said Piglet,	“sina lukin e sitelen noka seme?” li toki pi soweli lili.
coming closer.	ona li tawa poka.
	
“That’s just what I ask myself.	“mi toki e ni a tawa mi.
I ask myself, What?”	mi toki e ni tawa mi: seme?”
	
“What do you think you’ll answer?”	“tawa sina la, sina toki sin e seme?”
	
“I shall have to wait	“mi wile awen.
until I catch up with it,” said Winnie-the-Pooh.	mi pini kama e ni: mi alasa e ona” li toki pi soweli Wini Pu.
“Now, look there.”	“o lukin e ni.”
He pointed to the ground in front of him.	ona li palisa e anpa lon sinpin.
“What do you see there?”	“sina lukin e seme?”
	
“Tracks,” said Piglet. “Paw-marks.”	“sitelen noka” li toki pi soweli lili.
He gave a little squeak of excitement.	ona li kalama lili kepeken uta lili, tan pilin pi nasa wawa.
“Oh, Pooh!	“soweli Pu o!
Do you think it’s a—a—a Woozle?”	tawa sina la ni li … ni li … ni li soweli pi kiwen uta wawa anu seme?”
	
“It may be,” said Pooh.	“ken la ni” li toki pi soweli Pu.
“Sometimes it is,	“tenpo wan la ni.
and sometimes it isn’t.	tenpo ante la ala.
You never can tell with paw-marks.”	tenpo ala la jan li ken kama sona e ijo pi sitelen noka.”
	
With these few words he went on tracking,	pini pi nimi ni pi mute ala la ona li awen lukin e sitelen noka.
and Piglet, after watching him for a minute or two, ran after him.	soweli lili li lukin e ona lon tenpo pi mute wan li tawa wawa tawa monsi ona.
Winnie-the-Pooh had come to a sudden stop, and was bending over the tracks in a puzzled sort of way.	soweli Wini Pu li pini tawa lon tenpo lili li kama anpa lon sewi pi sitelen noka li pilin pi weka sona nasa.
	
“What’s the matter?” asked Piglet.	“seme li lon?” li toki pi soweli lili.
	
“It’s a very funny thing,” said Bear,	“ni li ijo nasa” li toki pi soweli pi luka wawa.
“but there seem to be two animals now.	“taso tawa mi la tenpo ni la soweli tu li lon.
This—whatever-it-was—has been joined by another—whatever-it-is—	soweli mu ni li kama lon poka pi soweli mu ante.
and the two of them are now proceeding in company.	soweli tu ni li awen tawa lon poka kulupu.
Would you mind coming with me, Piglet, in case they turn out to be Hostile Animals?”	tawa sina la ni li pona anu seme?: sina tawa lon poka mi — soweli lili o — tan ken ni pi ike kama: ona tu li utala?
	
Piglet scratched his ear in a nice sort of way, and said that he had nothing to do until Friday, and would be delighted to come, in case it really was a Woozle.	soweli lili li luka kiwen e kute li suwi lukin li toki e ni: ona li pali ala lon tenpo suno esun ni li wile kama tan ken ni: ni li lon li soweli pi kiwen uta wawa.
	
“You mean, in case it really is two Woozles,” said Winnie-the-Pooh,	“sina wile toki e ni: ni li soweli tu pi kiwen uta wawa” li toki pi soweli Wini Pu.
and Piglet said that anyhow he had nothing to do until Friday.	soweli lili li toki e ni: taso ona li pali ala lon tenpo suno esun ni.
So off they went together.	ni la ona tu li tawa lon poka kulupu.
	
There was a small spinney of larch trees just here,	mute lili pi kasi suli anpa li lon ni.
and it seemed as if the two Woozles, if that is what they were, had been going round this spinney;	tawa lukin la soweli tu pi kiwen uta wawa — ona tu li ni la — li tawa lon poka sike pi mute ni pi kasi suli moli.
so round this spinney went Pooh and Piglet after them;	sama ni la soweli Pu en soweli lili pi palisa monsi sike li tawa lon poka sike pi mute ni pi kasi suli moli, lon monsi pi ona tu.
Piglet passing the time by telling Pooh what his Grandfather Trespassers W had done to Remove Stiffness after Tracking,	soweli pi palisa monsi sike li musi li toki e ni tawa soweli Pu: mama mama pi tawa akesi W li pini lukin e sitelen noka, la ona li wile weka e kiwen tan noka, la ona li pali ona.
and how his Grandfather Trespassers W had suffered in his later years from Shortness of Breath,	sin la ona li toki e ni: sike suno pini ona la mama mama pi tawa akesi W li pilin ike tan weka kon.
and other matters of interest,	sin la ona li toki e ijo ante pi pona sona.
and Pooh wondering what a Grandfather was like,	soweli Pu li pilin pi weka sona ni: mama mama li seme?
and if perhaps this was Two Grandfathers they were after now,	ken la ona tu li alasa e mama mama tu anu seme?
and, if so, whether he would be allowed to take one home and keep it,	ni la ona li ken tawa tomo e wan ona li ken awen e ona anu seme?
and what Christopher Robin would say.	jan Kitopa Jopin li toki e seme pi ijo ni?
And still the tracks went on in front of them…	sin la sitelen noka li awen lon sinpin ona…
	
Suddenly Winnie-the-Pooh stopped, and pointed excitedly in front of him.	tenpo lili la soweli Wini Pu li pini tawa li pilin pi nasa wawa li palisa e sinpin.
“Look!”	“o lukin!”
	
“What?” said Piglet, with a jump.	“e seme?” li toki pi soweli lili li noka e anpa li tawa sewi.
And then, to show that he hadn’t been frightened,	ona li wile sama ni: ona li pilin akesi ala.
he jumped up and down once or twice more	tan ni la ona li noka e anpa li tawa sewi lon tenpo pi wan anu tu.
in an exercising sort of way.	kepeken ni la ona li sama pona e sijelo kepeken tawa.
	
“The tracks!” said Pooh.	“sitelen noka a!” li toki pi soweli Pu.
“A third animal has joined the other two!”	“soweli nanpa mute li kama lon poka pi tu ante!”
	
“Pooh!” cried Piglet.	“soweli Pu o!” li toki wawa pi soweli lili.
“Do you think it is another Woozle?”	“tawa sina la ni li soweli pi kiwen uta wawa ante?”
	
“No,” said Pooh,	“ala” li toki pi soweli Pu.
“because it makes different marks.	“tan ni: ona li lon e sitelen ante.
It is either Two Woozles and one, as it might be, Wizzle,	ken wan la ni li soweli tu pi kiwen uta wawa en soweli lili wan pi kiwen uta wawa.
or Two, as it might be, Wizzles and one, if so it is, Woozle.	ken ante la ni li soweli lili tu pi kiwen uta wawa en soweli suli wan pi kiwen uta.
Let us continue to follow them.”	mi o awen tawa lon monsi ona.”
	
So they went on, feeling just a little anxious now, in case the three animals in front of them were of Hostile Intent.	ni la ona tu li awen tawa li pilin lili pi ken ike ni: soweli lon sinpin ona li utala.
And Piglet wished very much that his Grandfather T. W. were there, instead of elsewhere,	soweli lili li wile mute e ni: mama mama T W li lon ni li lon ijo ante ala.
and Pooh thought how nice it would be if they met Christopher Robin suddenly but quite accidentally, and only because he liked Christopher Robin so much.	soweli Pu li toki insa e ni: ona li kama lon poka pi jan Kitopa Jopin lon tenpo lili tan ken pi lili ale, tan ni taso: tawa ona la jan Kitopa Jopin li pona mute.
And then, all of a sudden, Winnie-the-Pooh stopped again, and licked the tip of his nose in a cooling manner, for he was feeling more hot and anxious than ever in his life before.	ni la tenpo lili la soweli Wini Pu li pini tawa lon tenpo sin li pana e lete li uta e nena pi sinpin lawa kepeken palisa uta tan ni: ona li pilin seli en akesi pi mute nanpa wan.
There were four animals in front of them!	soweli tu tu li lon sinpin ona tu!
	
“Do you see, Piglet?	“sina lukin e ni anu seme?
Look at their tracks!	o lukin e sitelen noka ona!
Three, as it were, Woozles, and one, as it was, Wizzle.	soweli mute pi kiwen uta wawa en soweli lili pi kiwen uta wawa.
Another Woozle has joined them!”	soweli pi kiwen uta wawa li kama lon poka ona!”
	
